Date,Item,Quantity,Total Sales
1 01 2022,Stuffed animal,50,$250
4 01 2022,Lego set,25,$500
7 01 2022,Board game,30,$450
13 01 2022,Doll,40,$400
21 01 2022,Stuffed animal,40,$200
24 01 2022,Lego set,35,$600
31 01 2022,Board game,20,$250
2 02 2022,Doll,60,$650
3 02 2022,Aeroplane,60,$651
4 02 2022,Kite,50,$652
5 02 2022,Teddybear,78,$653
6 02 2022,Lite-Brite,60,$654
7 02 2022,Bicycle,83,$655
8 02 2022,Stuffed animal,55,$656
9 02 2022,Lego set,87,$657
10 02 2022,Board game,25,$600
11 02 2022,Doll,55,$620
12 02 2022,Stuffed animal,60,$800
13 02 2022,Lego set,15,$630
14 02 2022,Board game,21,$666
15 02 2022,Doll,34,$500
16 02 2022,Aeroplane,40,$700
17 02 2022,Kite,45,$800
18 02 2022,Teddybear,24,$400
19 02 2022,Lite-Brite,66,$678
20 02 2022,Bicycle,55,$400
